1	2447	2447	4.329085E-01
2	1040	3487	1.918888E-01
3	510	3997	7.369641E-02
4	200	4197	2.734647E-02
5	86	4283	7.415991E-03
6	26	4309	1.390498E-03
7	5	4314	2.317497E-04
15	1	4315	0.000000E+00
