1	96379	96379	9.109856E-02
2	6345	102724	3.126208E-02
3	1624	104348	1.594696E-02
4	686	105034	9.477645E-03
5	317	105351	6.488179E-03
6	192	105543	4.677524E-03
7	104	105647	3.696753E-03
8	57	105704	3.159215E-03
9	51	105755	2.678260E-03
10	43	105798	2.272749E-03
11	28	105826	2.008695E-03
12	20	105846	1.820085E-03
13	20	105866	1.631475E-03
14	19	105885	1.452296E-03
15	12	105897	1.339130E-03
16	11	105908	1.235395E-03
17	6	105914	1.178812E-03
18	15	105929	1.037354E-03
19	5	105934	9.902017E-04
20	4	105938	9.524797E-04
21	5	105943	9.053273E-04
22	11	105954	8.015919E-04
23	3	105957	7.733004E-04
24	4	105961	7.355784E-04
25	3	105964	7.072869E-04
26	4	105968	6.695650E-04
27	3	105971	6.412735E-04
28	6	105977	5.846905E-04
29	4	105981	5.469686E-04
31	3	105984	5.186771E-04
32	2	105986	4.998161E-04
34	1	105987	4.903856E-04
35	3	105990	4.620941E-04
36	1	105991	4.526636E-04
37	2	105993	4.338027E-04
38	1	105994	4.243722E-04
39	1	105995	4.149417E-04
40	2	105997	3.960807E-04
41	1	105998	3.866502E-04
42	1	105999	3.772197E-04
43	1	106000	3.677892E-04
44	2	106002	3.489282E-04
45	1	106003	3.394977E-04
46	3	106006	3.112063E-04
48	1	106007	3.017758E-04
49	1	106008	2.923453E-04
52	1	106009	2.829148E-04
55	3	106012	2.546233E-04
56	1	106013	2.451928E-04
57	1	106014	2.357623E-04
58	2	106016	2.169013E-04
60	2	106018	1.980403E-04
65	1	106019	1.886099E-04
66	1	106020	1.791794E-04
67	1	106021	1.697489E-04
68	1	106022	1.603184E-04
70	1	106023	1.508879E-04
71	1	106024	1.414574E-04
75	2	106026	1.225964E-04
81	1	106027	1.131659E-04
84	1	106028	1.037354E-04
88	1	106029	9.430493E-05
90	1	106030	8.487443E-05
91	1	106031	7.544394E-05
100	1	106032	6.601345E-05
127	1	106033	5.658296E-05
134	1	106034	4.715246E-05
279	1	106035	3.772197E-05
330	1	106036	2.829148E-05
412	1	106037	1.886099E-05
796	1	106038	9.430493E-06
1848	1	106039	0.000000E+00
