56068187	60.7331%	com
5171192	5.6014%	net
4937028	5.3478%	me
3271594	3.5438%	org
2073939	2.2465%	de
1733676	1.8779%	blogspot.com
1626920	1.7623%	jp
1608849	1.7427%	co.uk
1111686	1.2042%	info
1027336	1.1128%	com.br
893150	0.9675%	nl
673223	0.7292%	fr
644104	0.6977%	co.jp
524071	0.5677%	ru
479602	0.5195%	cc
478858	0.5187%	fm
452097	0.4897%	us
436047	0.4723%	ca
421955	0.4571%	es
418049	0.4528%	it
379648	0.4112%	ro
368013	0.3986%	com.au
336179	0.3641%	ly
332460	0.3601%	bg
327891	0.3552%	tv
304235	0.3295%	pl
298930	0.3238%	ne.jp
295568	0.3202%	eu
281452	0.3049%	im
233052	0.2524%	se
221687	0.2401%	edu
196376	0.2127%	in
185605	0.2010%	be
165269	0.1790%	gov
161136	0.1745%	ch
145478	0.1576%	biz
141753	0.1535%	at
121361	0.1315%	com.mx
121287	0.1314%	hu
107821	0.1168%	co.nz
105482	0.1143%	no
104826	0.1135%	dk
96159	0.1042%	fi
93363	0.1011%	cl
91307	0.0989%	co.id
87571	0.0949%	pt
84301	0.0913%	com.ar
77915	0.0844%	ua
76575	0.0829%	ath.cx
75609	0.0819%	gr
75516	0.0818%	to
73709	0.0798%	org.uk
73446	0.0796%	co.za
72656	0.0787%	com.tw
72276	0.0783%	cn
71310	0.0772%	com.cn
64967	0.0704%	sh
58184	0.0630%	cz
56095	0.0608%	ie
56047	0.0607%	li
48961	0.0530%	lv
48438	0.0525%	ws
47977	0.0520%	name
47728	0.0517%	net.au
42241	0.0458%	cat
40111	0.0434%	co.il
39738	0.0430%	tk
39729	0.0430%	ac.uk
37726	0.0409%	co.kr
36210	0.0392%	com.my
33554	0.0363%	com.tr
32885	0.0356%	hr
32273	0.0350%	io
31836	0.0345%	tl
30675	0.0332%	gd
30654	0.0332%	ee
29368	0.0318%	vn
28890	0.0313%	kz
27629	0.0299%	nu
27444	0.0297%	org.br
27262	0.0295%	gov.uk
27043	0.0293%	pe
26844	0.0291%	com.ua
25309	0.0274%	or.jp
22160	0.0240%	lt
21875	0.0237%	com.pe
20974	0.0227%	co
20783	0.0225%	sk
19969	0.0216%	mobi
19541	0.0212%	com.ph
17584	0.0190%	gl
17544	0.0190%	appspot.com
17066	0.0185%	am
16867	0.0183%	by
16589	0.0180%	edu.tw
14521	0.0157%	mx
14100	0.0153%	org.hk
13857	0.0150%	bz
13108	0.0142%	asia
13079	0.0142%	is
12583	0.0136%	gs
12095	0.0131%	go.jp
11679	0.0127%	cx
11642	0.0126%	ir
11631	0.0126%	az
11603	0.0126%	com.ve
11590	0.0126%	com.vn
11496	0.0125%	co.in
11229	0.0122%	com.sg
11121	0.0120%	ph
10895	0.0118%	or.id
10461	0.0113%	org.ua
10448	0.0113%	ac.jp
10172	0.0110%	si
10082	0.0109%	co.th
9561	0.0104%	rs
9117	0.0099%	edu.au
8873	0.0096%	ms
8680	0.0094%	lk
8572	0.0093%	kr
8483	0.0092%	com.co
8359	0.0091%	kicks-ass.net
8117	0.0088%	mil
8074	0.0087%	org.au
8068	0.0087%	sg
7790	0.0084%	gc.ca
7721	0.0084%	in.th
7655	0.0083%	tw
7592	0.0082%	gov.au
7564	0.0082%	la
7441	0.0081%	sytes.net
7290	0.0079%	mu
7230	0.0078%	mk
6676	0.0072%	ma
6538	0.0071%	br
6437	0.0070%	no-ip.org
6349	0.0069%	cu
6064	0.0066%	st
