1	63171	63171	1.886383E-01
2	7653	70824	9.034396E-02
3	2533	73357	5.781037E-02
4	1295	74652	4.117753E-02
5	745	75397	3.160883E-02
6	469	75866	2.558504E-02
7	347	76213	2.112821E-02
8	274	76487	1.760898E-02
9	196	76683	1.509158E-02
10	166	76849	1.295949E-02
11	111	76960	1.153382E-02
12	110	77070	1.012099E-02
13	81	77151	9.080634E-03
14	47	77198	8.476971E-03
15	58	77256	7.732025E-03
16	49	77305	7.102674E-03
17	41	77346	6.576074E-03
18	43	77389	6.023787E-03
19	29	77418	5.651314E-03
20	34	77452	5.214621E-03
21	33	77485	4.790773E-03
22	25	77510	4.469676E-03
23	20	77530	4.212798E-03
24	12	77542	4.058671E-03
25	15	77557	3.866012E-03
26	14	77571	3.686198E-03
27	11	77582	3.544915E-03
28	11	77593	3.403632E-03
29	11	77604	3.262349E-03
30	13	77617	3.095379E-03
31	11	77628	2.954096E-03
32	5	77633	2.889876E-03
33	6	77639	2.812813E-03
34	5	77644	2.748594E-03
35	9	77653	2.632999E-03
36	12	77665	2.478872E-03
37	7	77672	2.388965E-03
38	9	77681	2.273369E-03
39	8	77689	2.170618E-03
40	8	77697	2.067867E-03
41	8	77705	1.965116E-03
42	3	77708	1.926584E-03
43	3	77711	1.888053E-03
44	4	77715	1.836677E-03
45	3	77718	1.798145E-03
46	9	77727	1.682550E-03
47	4	77731	1.631175E-03
48	5	77736	1.566955E-03
49	8	77744	1.464204E-03
50	3	77747	1.425672E-03
51	3	77750	1.387141E-03
52	6	77756	1.310077E-03
54	4	77760	1.258702E-03
55	5	77765	1.194482E-03
56	6	77771	1.117419E-03
57	5	77776	1.053199E-03
58	5	77781	9.889799E-04
59	3	77784	9.504483E-04
60	3	77787	9.119166E-04
61	2	77789	8.862288E-04
62	2	77791	8.605410E-04
63	2	77793	8.348532E-04
64	2	77795	8.091654E-04
65	3	77798	7.706337E-04
66	3	77801	7.321020E-04
67	2	77803	7.064142E-04
68	1	77804	6.935703E-04
71	3	77807	6.550387E-04
72	1	77808	6.421948E-04
73	1	77809	6.293509E-04
75	1	77810	6.165070E-04
77	1	77811	6.036631E-04
79	2	77813	5.779753E-04
81	1	77814	5.651314E-04
82	3	77817	5.265997E-04
84	1	77818	5.137558E-04
88	2	77820	4.880680E-04
89	1	77821	4.752241E-04
90	1	77822	4.623802E-04
97	1	77823	4.495363E-04
101	2	77825	4.238485E-04
106	1	77826	4.110046E-04
117	1	77827	3.981608E-04
118	1	77828	3.853169E-04
129	2	77830	3.596291E-04
140	1	77831	3.467852E-04
143	1	77832	3.339413E-04
144	1	77833	3.210974E-04
156	1	77834	3.082535E-04
162	1	77835	2.954096E-04
166	1	77836	2.825657E-04
175	1	77837	2.697218E-04
190	1	77838	2.568779E-04
191	1	77839	2.440340E-04
192	2	77841	2.183462E-04
199	2	77843	1.926584E-04
223	1	77844	1.798145E-04
229	1	77845	1.669706E-04
262	1	77846	1.541267E-04
279	2	77848	1.284390E-04
294	1	77849	1.155951E-04
295	1	77850	1.027512E-04
298	2	77852	7.706337E-05
314	1	77853	6.421948E-05
318	1	77854	5.137558E-05
324	1	77855	3.853169E-05
377	1	77856	2.568779E-05
573	1	77857	1.284390E-05
1851	1	77858	0.000000E+00
